name,frequency,rate
1.0,18,0.9
removed,7,0.35
minutes,1,0.05
13:09:41,1,0.05
provide,3,0.15
fetchmail-5.9.0,20,1.0
8.9.3/8.9.3,20,1.0
naa04623,1,0.05
e-mail,4,0.2
savings,1,0.05
inserted,1,0.05
width=3d,2,0.1
100=,1,0.05
eas=,1,0.05
state,5,0.25
/head,4,0.2
charset=,14,0.7
content=3d,2,0.1
smtpsvc,6,0.3
color,2,0.1
kes,1,0.05
saves,1,0.05
protecting,2,0.1
val=,1,0.05
make,5,0.25
money,5,0.25
shop,1,0.05
important,3,0.15
/td,6,0.3
color=3dblack,1,0.05
even,1,0.05
mime-version,18,0.9
click,9,0.45
email.,1,0.05
an=,1,0.05
dth=3d650,1,0.05
cellspacing=3d0,2,0.1
ma=,1,0.05
financial,4,0.2
style=3d,1,0.05
pop3,17,0.85
free,14,0.7
rates.,1,0.05
dd_it7,1,0.05
size=3d5,2,0.1
esmtp,20,1.0
btamail.net.cn,2,0.1
fast,1,0.05
align=3dleft,1,0.05
head,5,0.25
+0100,20,1.0
pt=,1,0.05
border=3d0,2,0.1
black,1,0.05
ules=3dnone,1,0.05
message-id,20,1.0
valign=3dtop,1,0.05
complete,2,0.1
and/or,1,0.05
content-transfer-encoding,14,0.7
table,6,0.3
mailto,2,0.1
subject,20,1.0
microsoft,12,0.6
none,1,0.05
-0400,20,1.0
+0900,2,0.1
service,4,0.2
type,2,0.1
//website.e365.cc/savequote/,1,0.05
id=3d_calyprintheader_,1,0.05
dcek1a1,1,0.05
wish,10,0.5
new,8,0.4
country,2,0.1
email,9,0.45
solicitations,1,0.05
started,2,0.1
13:17:22,1,0.05
types,1,0.05
height=3d50,1,0.05
/font,6,0.3
20:31:57,1,0.05
0103c1042001882dd_it7,1,0.05
public,1,0.05
arial,4,0.2
center,7,0.35
get,11,0.55
less,1,0.05
content-type,18,0.9
access,2,0.1
http,14,0.7
charset=3dwindows-1252,1,0.05
error,2,0.1
sat,1,0.05
companies,3,0.15
pay,2,0.1
http-equiv=3dcontent-t=,1,0.05
111111,1,0.05
insurance.,1,0.05
this=,1,0.05
bold,1,0.05
list,9,0.45
localhost,20,1.0
colspan=3d2,1,0.05
2002,20,1.0
ff0000,2,0.1
lowest,3,0.15
requesting,2,0.1
13:17:21,1,0.05
quoted-printable,5,0.25
-1600,1,0.05
-//w3c//dtd,1,0.05
lifequote,1,0.05
return-path,20,1.0
iso-8859-1,10,0.5
mshtml,2,0.1
noshade,3,0.15
strong,2,0.1
cellspacing=3d2,1,0.05
phobos.labs.spamassassin.taint.org,20,1.0
best,3,0.15
your=,1,0.05
doctype,1,0.05
edt,20,1.0
/tbody,4,0.2
calypso,1,0.05
size=3d2=,2,0.1
aug,20,1.0
padding-right,1,0.05
size=3d1,2,0.1
insuran=,1,0.05
delivered-to,20,1.0
receipt,1,0.05
html,5,0.25
hundreds,1,0.05
13:18:52,1,0.05
06:18:18,1,0.05
13:27:39,1,0.05
v6.00.2462.0000,5,0.25
ffb949b0:01c249d5,1,0.05
child,5,0.25
urn,5,0.25
59e6301c249d5,1,0.05
10-12,5,0.25
8.11.6/8.11.6,3,0.15
//www.linux.ie/mailman/listinfo/ilug,2,0.1
imap,3,0.15
wonderful,4,0.2
o=245,4,0.2
album,4,0.2
7bit,7,0.35
1.1,3,0.15
subscription,3,0.15
day,8,0.4
taylor,1,0.05
email.qves.com,5,0.25
lbs,5,0.25
10.206,1,0.05
guaranteed,6,0.3
mimeole,7,0.35
5.0.2195.2966,4,0.2
windows,7,0.35
12:18:18.0699,1,0.05
ilug.linux.ie,2,0.1
legal,6,0.3
online,5,0.25
advice,5,0.25
naa29282,1,0.05
169.254.6.22,1,0.05
support,5,0.25
fastest,6,0.3
x-beenthere,3,0.15
cdo,5,0.25
thread-index,5,0.25
group,5,0.25
x-mailman-version,3,0.15
x-mailer,11,0.55
content-class,5,0.25
acjj1f+3fwdz11amr6uwbmqn5ggxxw==,1,0.05
//www.qves.com/trim/,5,0.25
g7mcjiz06043,1,0.05
private,6,0.3
bulk,3,0.15
leave,5,0.25
o=283,4,0.2
o=259,4,0.2
days,8,0.4
offer,6,0.3
lose,6,0.3
x-mimeole,7,0.35
photo,4,0.2
freeyankeedom.com,5,0.25
risk,5,0.25
maintainer,3,0.15
list-id,3,0.15
13:19:44,1,0.05
o=249,4,0.2
ilug,2,0.1
naa29323,1,0.05
ilug-admin,2,0.1
a7fd7454f6,1,0.05
13:27:38,1,0.05
singles,4,0.2
67.104.83.251,3,0.15
x-originalarrivaltime,5,0.25
growing,6,0.3
prizemama,4,0.2
filetime=,5,0.25
2000,5,0.25
cancer,6,0.3
qvp0091,1,0.05
slim,5,0.25
7c17,4,0.2
lugh.tuatha.org,3,0.15
community,4,0.2
content-classes,5,0.25
link,7,0.35
lugh,3,0.15
utc,5,0.25
linux.ie,3,0.15
linux,3,0.15
fight,5,0.25
join,4,0.2
zzzz-ilug,2,0.1
produced,7,0.35
s=pk007,4,0.2
start,4,0.2
message,10,0.5
s3.serveimage.com,2,0.1
s=pk002,4,0.2
deserve,5,0.25
root,3,0.15
jmason.org,3,0.15
o=315,4,0.2
08:27:38,1,0.05
precedence,3,0.15
dogma.slashnull.org,3,0.15
listmaster,3,0.15
phobos,3,0.15
sender,6,0.3
//www.adclick.ws/p.cfm,4,0.2
use,6,0.3
7c114258,2,0.1
1606fea9,1,0.05
host,3,0.15
-0600,6,0.3
x-authentication-warning,3,0.15
manager,5,0.25
web,6,0.3
users,3,0.15
claimed,3,0.15
text/plain,12,0.6
194.125.145.45,3,0.15
ffb7ea20,1,0.05
13:18:37,1,0.05
errors-to,3,0.15
irish,3,0.15
information,9,0.45
11.150,1,0.05
forged,2,0.1
07:36:20,1,0.05
may,6,0.3
14:37:23,1,0.05
14:44:07,1,0.05
07:36:19,1,0.05
qvp0086,1,0.05
acjj4owpowgq7rdnswcz5he3x9zzdq==,1,0.05
e692fd90:01c249e0,1,0.05
13:36:20.0969,1,0.05
oaa04953,1,0.05
1e90847c66,1,0.05
mx3.1premio.com,1,0.05
9a63c01c249e0,1,0.05
169.254.6.17,1,0.05
09:44:02,1,0.05
1106fea9,1,0.05
email1.qves.net,2,0.1
209.63.151.251,2,0.1
sabrina,1,0.05
e5a9d610,1,0.05
7c308417,2,0.1
14:44:03,1,0.05
+1200,1,0.05
sites,1,0.05
removal,2,0.1
morgan,1,0.05
5:50:53,1,0.05
aid=760382,1,0.05
following,1,0.05
operations,1,0.05
password,1,0.05
760382,1,0.05
info,1,0.05
farm,1,0.05
+0400,1,0.05
never,2,0.1
allow,2,0.1
getting,1,0.05
offers,3,0.15
month,1,0.05
176.244.234.14,1,0.05
part,1,0.05
fill,5,0.25
106.226.127.61,1,0.05
//80.71.66.8/celebst/,1,0.05
qaa05397,1,0.05
age,1,0.05
205.210.42.30,3,0.15
//80.71.66.8/optout/,1,0.05
japanese,1,0.05
database,3,0.15
required,5,0.25
girls,1,0.05
wsup,1,0.05
11:12:57,1,0.05
links,1,0.05
animals,1,0.05
//80.71.66.8/lesbian/,1,0.05
unknown,2,0.1
simpson,1,0.05
entertained,1,0.05
vonolmosatkirekpups,1,0.05
instant,2,0.1
instructions,2,0.1
opted,1,0.05
advertisement,1,0.05
210.19.113.130,1,0.05
receive,5,0.25
last,4,0.2
+0300,1,0.05
smtp.easydns.com,3,0.15
playful.com,1,0.05
policies,1,0.05
adults,1,0.05
offering,1,0.05
jennifer,1,0.05
adult,1,0.05
2.9,1,0.05
sparc.isl.net,1,0.05
sign,1,0.05
yet,1,0.05
account,3,0.15
become,1,0.05
177.139.227.166,1,0.05
conditions,1,0.05
6:50:51,1,0.05
16:13:20,1,0.05
16:16:59,1,0.05
multi,1,0.05
years,2,0.1
opt-out,1,0.05
thousands,1,0.05
advertisers,1,0.05
believe,1,0.05
celebes,1,0.05
name,4,0.2
shows,1,0.05
-0700,3,0.15
x-priority,7,0.35
club,1,0.05
boyffriend,1,0.05
200.161.16.132,1,0.05
08:13:35,1,0.05
cent,1,0.05
5.00.2615.200,2,0.1
lace,1,0.05
services,4,0.2
membership,1,0.05
//80.71.66.8/asian/,1,0.05
52.127.142.42,1,0.05
signed,1,0.05
rules,1,0.05
dollar,1,0.05
absolutely,1,0.05
freaky,1,0.05
.free,1,0.05
sex,2,0.1
fantasies,1,0.05
emails,1,0.05
asian,1,0.05
websites,1,0.05
long,3,0.15
specials,1,0.05
feeds,1,0.05
08/18/02,1,0.05
694632ee5a,1,0.05
affiliated,1,0.05
space,1,0.05
//80.71.66.8/farm/,1,0.05
yes,3,0.15
qmqp,1,0.05
express,5,0.25
n7.groups.yahoo.com,1,0.05
faq,1,0.05
friends,1,0.05
member,3,0.15
pass,1,0.05
user,1,0.05
lesbian,1,0.05
read,2,0.1
smtp,10,0.5
porn,1,0.05
net,1,0.05
4:47:16,1,0.05
million,3,0.15
smtp-server6.tampabay.rr.com,1,0.05
miami,1,0.05
joe,1,0.05
live,1,0.05
18.,1,0.05
one,6,0.3
8:02:13,1,0.05
terms,1,0.05
're,1,0.05
pviqg,1,0.05
16:17:00,1,0.05
//80.71.66.8/mega/,1,0.05
...,1,0.05
house,1,0.05
manhattan,1,0.05
give,1,0.05
charge,1,0.05
-0000,2,0.1
members,1,0.05
two,3,0.15
outlook,6,0.3
20020822151301.694632ee5a,1,0.05
schoolgirls,1,0.05
local,1,0.05
11:16:59,1,0.05
lifetime,1,0.05
play,2,0.1
xxx,2,0.1
n't,4,0.2
"721,184",1,0.05
true,1,0.05
sexy,1,0.05
unbelievable,1,0.05
hours,2,0.1
internet,2,0.1
rly-xl04.mx.aol.com,1,0.05
cams,2,0.1
news,1,0.05
b8e8d43f99,1,0.05
zzzz+ilug-social,1,0.05
qvp0080,1,0.05
l=822nic1,1,0.05
daily-deals,1,0.05
yenene,1,0.05
09:33:07,1,0.05
36e098b0,1,0.05
acjj8tbzookej0attskxj7zmoa0e/w==,1,0.05
l=822ppl1,1,0.05
7c29,1,0.05
qaa07662,1,0.05
16:34:25,1,0.05
social,1,0.05
g7mfyoz12548,1,0.05
10.148,1,0.05
//www.freeyankee.com/cgi/fy2/to.cgi,1,0.05
ilug-social,1,0.05
qaa07692,1,0.05
events,2,0.1
104c1101c249f1,1,0.05
trim,1,0.05
169.254.6.11,1,0.05
30b2143f99,1,0.05
0b06fea9,1,0.05
3746d490:01c249f1,1,0.05
7c134077,1,0.05
like,4,0.2
16:33:37,1,0.05
mx2.1premio.com,1,0.05
09:33:08,1,0.05
15:33:08.0313,1,0.05
might,1,0.05
16:37:34,1,0.05
//www.linux.ie/mailman/listinfo/social,1,0.05
l=822slim1,1,0.05
social.linux.ie,1,0.05
11:37:34,1,0.05
thought,1,0.05
16:33:43,1,0.05
social-admin,1,0.05
address,5,0.25
17:50:55,1,0.05
testimonials,2,0.1
212.78.202.113,1,0.05
announcing,2,0.1
zone________________________________________,1,0.05
continued,2,0.1
reply,4,0.2
seattle,2,0.1
exceptions,2,0.1
relative,2,0.1
1-800-421-6318,2,0.1
grab,2,0.1
single,2,0.1
"12,000",2,0.1
"2,000",2,0.1
call,4,0.2
8bit,5,0.25
players,2,0.1
sent,2,0.1
16:58:24,1,0.05
decision,2,0.1
yahoo.com,5,0.25
sake,2,0.1
qaa05573,1,0.05
sure,2,0.1
mail,4,0.2
lifeline,2,0.1
major,2,0.1
either,2,0.1
powerhouse,2,0.1
flow,2,0.1
back,4,0.2
experts,2,0.1
first,4,0.2
413-220028422154219900,1,0.05
+0200,2,0.1
stopped,2,0.1
1618,2,0.1
errors,2,0.1
've,2,0.1
purpose,3,0.15
word,2,0.1
hear,2,0.1
thecashsystem,2,0.1
fax_____________________________________email____________________________________________,1,0.05
per,4,0.2
want,6,0.3
name__________________________________phone___________________________________________,1,0.05
send,4,0.2
communications,2,0.1
made,3,0.15
"8,000",2,0.1
"4,000",2,0.1
mailbox-13.st1.spray.net,1,0.05
inclusion,2,0.1
tossing,2,0.1
24.214.168.210,2,0.1
average,2,0.1
firemail.de,2,0.1
invitation,2,0.1
sales,2,0.1
line,5,0.25
tesrewinter,2,0.1
gracious,2,0.1
wealthy,2,0.1
compiled,2,0.1
cash,3,0.15
tight,2,0.1
3453043f99,1,0.05
leads,2,0.1
paragraph,2,0.1
gigt,2,0.1
gifting,2,0.1
"50,000",2,0.1
fax,4,0.2
people,4,0.2
days.,2,0.1
-0500,6,0.3
think,2,0.1
onto,2,0.1
compliance,2,0.1
ever,2,0.1
"1,000",2,0.1
work,5,0.25
blast,2,0.1
close,2,0.1
found,2,0.1
transmissions,2,0.1
j.w,2,0.1
bank,3,0.15
addd03e25c,1,0.05
hold,2,0.1
wait,2,0.1
bill,3,0.15
next,4,0.2
omissions,2,0.1
pledge,2,0.1
leverage,2,0.1
cost,3,0.15
11:58:24,1,0.05
immediately,2,0.1
"3,000",2,0.1
marketing,3,0.15
right,4,0.2
301,2,0.1
turbo,2,0.1
replicate,2,0.1
entry,2,0.1
conceived,2,0.1
pick,2,0.1
call_________________________time,1,0.05
16:55:29,1,0.05
huge,2,0.1
l.l,2,0.1
time,3,0.15
question,2,0.1
freesource,2,0.1
excluded,2,0.1
user-24-214-168-210.knology.net,2,0.1
team,2,0.1
charset=us-ascii,3,0.15
10:42:19,1,0.05
deleted,2,0.1
mother,2,0.1
program,3,0.15
partner,2,0.1
gave,2,0.1
sole,2,0.1
got,2,0.1
upon,2,0.1
way,2,0.1
1-800-896-6568,2,0.1
founders,2,0.1
dst,1,0.05
hope,3,0.15
training,2,0.1
permission,2,0.1
ride,2,0.1
q.s,2,0.1
section,2,0.1
calling,2,0.1
x-mime-autoconverted,3,0.15
spam,2,0.1
miss,2,0.1
sending,2,0.1
home,3,0.15
self,2,0.1
fort,1,0.05
reps.,2,0.1
4139volw7-758dody1425frhm1-764smfc8513fcsll40,1,0.05
500,3,0.15
motivated,2,0.1
wanted,2,0.1
looking,2,0.1
fortune,2,0.1
3ab55ec5,1,0.05
train,2,0.1
employement,2,0.1
//www.basetel.com/remove.html,2,0.1
18:28:06,1,0.05
year,4,0.2
mike23,1,0.05
specialist,2,0.1
3fbeb2eef1,1,0.05
x-msmail-priority,4,0.2
form,6,0.3
company,8,0.4
opportunity,2,0.1
217.127.249.196,1,0.05
13:24:37,1,0.05
//www.basetel.com/wealthnow,2,0.1
bluemail.dk,1,0.05
13:28:06,1,0.05
energetic,2,0.1
bjjwxv,1,0.05
employed,2,0.1
income,2,0.1
217-127-249-196.uc.nombres.ttd.es,1,0.05
career,2,0.1
contact,4,0.2
individuals,2,0.1
hotmail.com,3,0.15
hiring,1,0.05
reply-to,4,0.2
18:25:04,1,0.05
tremendous,2,0.1
saa05963,1,0.05
7338a0a4,1,0.05
18:28:10,1,0.05
experience,2,0.1
9367f43f99,1,0.05
excellent,2,0.1
opportunities,2,0.1
5.00.2919.6700,1,0.05
rate,4,0.2
vast,2,0.1
normal,4,0.2
importance,2,0.1
000c84d37aae,1,0.05
old,2,0.1
name=freequoteform,1,0.05
123.000035f8,1,0.05
x-info,2,0.1
delaware,1,0.05
value=850000.00,1,0.05
selected,1,0.05
value=hawaii,1,0.05
value=08,1,0.05
/option,1,0.05
value=16,1,0.05
value=68,1,0.05
value=arizona,1,0.05
size=,3,0.15
value=n,1,0.05
value=01,1,0.05
vlink=,1,0.05
leftmargin=,1,0.05
great,2,0.1
value=21,1,0.05
wyoming,1,0.05
id=formsradiobutton3,1,0.05
minnesota,1,0.05
//admanmail.com/server/t.asp,2,0.1
"500,000",1,0.05
cellspacing=,1,0.05
nebraska,1,0.05
"1,750,000",1,0.05
value=900000.00,1,0.05
value=55,1,0.05
value=46,1,0.05
"6,000,000",1,0.05
value=arkansas,1,0.05
name=tobacco,1,0.05
"425,000",1,0.05
value=2250000.00,1,0.05
106,1,0.05
title,3,0.15
reliaquote,1,0.05
protect,1,0.05
future.,1,0.05
209.216.124.212,2,0.1
value=700000.00,1,0.05
value=maryland,1,0.05
value=45,1,0.05
value=pennsylvania,1,0.05
"100,000",1,0.05
value=33,1,0.05
value=09,1,0.05
value=alaska,1,0.05
"10,000,000",1,0.05
value=63,1,0.05
"7,000,000",1,0.05
value=9000000.00,1,0.05
value=62,1,0.05
name=coverage-amount,1,0.05
"12,000,000",1,0.05
value=montana,1,0.05
oklahoma,1,0.05
name=dd,1,0.05
value=550000.00,1,0.05
verdana,2,0.1
instantly,1,0.05
height=,2,0.1
id=formscombobox10,1,0.05
"15,000,000",1,0.05
color=,3,0.15
value=69,1,0.05
value=350000.00,1,0.05
iowa,1,0.05
value=virginia,1,0.05
class=hptbcolor,1,0.05
value=maine,1,0.05
amount,1,0.05
value=650000.00,1,0.05
carolina,1,0.05
change,2,0.1
value=50,1,0.05
value=750000.00,1,0.05
value=77,1,0.05
value=12,1,0.05
ohio,1,0.05
receiving,3,0.15
male,1,0.05
dist,1,0.05
female,1,0.05
value=59,1,0.05
value=82,1,0.05
"4,500,000",1,0.05
value=tennessee,1,0.05
value=300000.00,1,0.05
value=6000000.00,1,0.05
rights,1,0.05
value=500000.00,1,0.05
value=massachusetts,1,0.05
value=32,1,0.05
200208221727.saa05985,1,0.05
173,1,0.05
134085,2,0.1
name=yy,1,0.05
california,1,0.05
18:27:56,1,0.05
"900,000",1,0.05
value=80,1,0.05
value=15000000.00,1,0.05
type=hidden,1,0.05
value=texas,1,0.05
border=0,2,0.1
jersey,1,0.05
middle,1,0.05
protected,1,0.05
"125,000",1,0.05
mexico,1,0.05
"11,000,000",1,0.05
value=illinois,1,0.05
value=1000000.00,1,0.05
directed,2,0.1
value=minnesota,1,0.05
"200,000",1,0.05
div,1,0.05
left,1,0.05
2001,1,0.05
value=20,1,0.05
"275,000",1,0.05
value=10000000.00,1,0.05
name=sourceid,1,0.05
products,2,0.1
used,1,0.05
rated,1,0.05
"550,000",1,0.05
pennsylvania,1,0.05
value=nevada,1,0.05
ad_key=yuesbhwakmlk,1,0.05
missouri,1,0.05
value=17,1,0.05
value=3000000.00,1,0.05
value=5,1,0.05
value=67,1,0.05
"3,500,000",1,0.05
"450,000",1,0.05
210,1,0.05
quotes,1,0.05
maryland,1,0.05
value=wyoming,1,0.05
value=800000.00,1,0.05
_blank,1,0.05
value=48,1,0.05
value=450000.00,1,0.05
value=dc,1,0.05
montana,1,0.05
em=jm,2,0.1
294,1,0.05
"8,000,000",1,0.05
ffcc99,1,0.05
"1,500,000",1,0.05
value=7000000.00,1,0.05
//www.reliaquote.com/banner/bannerads/images/headline6.gif,1,0.05
sgo,2,0.1
type=radio,1,0.05
value=250000.00,1,0.05
value=84,1,0.05
"600,000",1,0.05
value=delaware,1,0.05
10.2.0.30,2,0.1
value=missouri,1,0.05
vspace=,2,0.1
tahoma,1,0.05
valign=,1,0.05
value=georgia,1,0.05
birth,1,0.05
"250,000",1,0.05
/em,2,0.1
value=michigan,1,0.05
"13,000,000",1,0.05
netnoteinc.com,2,0.1
href=,3,0.15
value=f,1,0.05
value=kansas,1,0.05
x-info2,2,0.1
value=47,1,0.05
value=78,1,0.05
id=formsbutton1,1,0.05
florida,1,0.05
value=22,1,0.05
377,1,0.05
easy,3,0.15
img,2,0.1
kansas,1,0.05
value=29,1,0.05
need,3,0.15
value=11,1,0.05
"700,000",1,0.05
value=35,1,0.05
border=,3,0.15
columbia,1,0.05
cellspacing=4,1,0.05
value=150000.00,1,0.05
"2,000,000",1,0.05
value=43,1,0.05
3366cc,1,0.05
coverage.,1,0.05
hspace=,2,0.1
//theadmanager.com/server/c.asp,2,0.1
cellspacing=0,2,0.1
value=175000.00,1,0.05
indiana,1,0.05
"1,250,000",1,0.05
/select,1,0.05
value=27,1,0.05
saa05985,1,0.05
value=56,1,0.05
alink=,1,0.05
value=11000000.00,1,0.05
value=y,1,0.05
value=38,1,0.05
value=49,1,0.05
tobacco,1,0.05
"950,000",1,0.05
highly,1,0.05
value=325000.00,1,0.05
value=31,1,0.05
value=83,1,0.05
value=100000.00,1,0.05
"150,000",1,0.05
idaho,1,0.05
993366,1,0.05
"1,000,000",1,0.05
id=formsradiobutton4,1,0.05
value=76,1,0.05
ext=1,2,0.1
id=formscombobox11,1,0.05
value=275000.00,1,0.05
value=425000.00,1,0.05
value=30,1,0.05
value=14000000.00,1,0.05
value=71,1,0.05
value=26,1,0.05
10:30:04,1,0.05
value=03,1,0.05
"325,000",1,0.05
value=wisconsin,1,0.05
0000ff,1,0.05
value=34,1,0.05
220,1,0.05
value=125000.00,1,0.05
value=colorado,1,0.05
/div,1,0.05
cellpadding=,1,0.05
alt=,2,0.1
value=,1,0.05
value=ohio,1,0.05
//www.reliaquote.com/banner/bannerads/images/photo6.jpg,1,0.05
"14,000,000",1,0.05
sendgreatoffers.com,2,0.1
connecticut,1,0.05
"2,500,000",1,0.05
value=39,1,0.05
align=left,2,0.1
value=79,1,0.05
l=sgo,2,0.1
value=64,1,0.05
ffcc00,1,0.05
copyright,1,0.05
tennessee,1,0.05
//www.reliaquote.com/banner/bannerads/images/logo6.gif,1,0.05
/form,2,0.1
value=66,1,0.05
"175,000",1,0.05
"5,000,000",1,0.05
value=81,1,0.05
charset=iso-8859-1,1,0.05
must,3,0.15
value=950000.00,1,0.05
michigan,1,0.05
reserved.,1,0.05
nowrap,1,0.05
"400,000",1,0.05
mississippi,1,0.05
size=1,1,0.05
arkansas,1,0.05
hampshire,1,0.05
value=61,1,0.05
value=12000000.00,1,0.05
value=10,1,0.05
value=04,1,0.05
value=52,1,0.05
value=california,1,0.05
arizona,1,0.05
"750,000",1,0.05
cellpadding=0,2,0.1
value=24,1,0.05
top,1,0.05
value=70,1,0.05
align=,3,0.15
unsubscribe,2,0.1
link=,1,0.05
value=8000000.00,1,0.05
value=28,1,0.05
//www.reliaquote.com/banner/bannerads/images/freequotes6.gif,1,0.05
value=mississippi,1,0.05
value=connecticut,1,0.05
massachusetts,1,0.05
value=72,1,0.05
content=,1,0.05
georgia,1,0.05
value=washington,1,0.05
value=2500000.00,1,0.05
value=51,1,0.05
value=07,1,0.05
also,4,0.2
value=15,1,0.05
value=13000000.00,1,0.05
value=idaho,1,0.05
value=54,1,0.05
name=submitbutton,1,0.05
value=florida,1,0.05
value=57,1,0.05
future,2,0.1
value=74,1,0.05
today,2,0.1
rhode,1,0.05
makes,1,0.05
illinois,1,0.05
target=,1,0.05
nothing,2,0.1
select,1,0.05
217,1,0.05
west,2,0.1
value=nebraska,1,0.05
value=44,1,0.05
name=state,1,0.05
value=41,1,0.05
/title,3,0.15
18:28:19,1,0.05
vermont,1,0.05
"4,000,000",1,0.05
months,1,0.05
include,3,0.15
value=37,1,0.05
colorado,1,0.05
value=400000.00,1,0.05
value=42,1,0.05
value=14,1,0.05
value=1250000.00,1,0.05
cellpadding=2,1,0.05
washington,1,0.05
name=sex,1,0.05
owner-nolist-sgodaily*jm**netnoteinc*-com,2,0.1
louisiana,1,0.05
value=58,1,0.05
"475,000",1,0.05
//admanmail.com/subscription.asp,2,0.1
11:11:42,1,0.05
type=submit,1,0.05
value=1500000.00,1,0.05
"850,000",1,0.05
us-ascii,3,0.15
v1.1b,2,0.1
bgcolor=,3,0.15
468,1,0.05
residence,1,0.05
correspondence,2,0.1
177,1,0.05
value=indiana,1,0.05
input,2,0.1
120,1,0.05
value=51100004022000000321,1,0.05
action=,1,0.05
id=formscombobox12,1,0.05
topmargin=,1,0.05
unsubscribed,2,0.1
value=kentucky,1,0.05
"650,000",1,0.05
value=60,1,0.05
"375,000",1,0.05
value=5000000.00,1,0.05
value=alabama,1,0.05
value=05,1,0.05
utah,1,0.05
tiputil1,2,0.1
tipsmtp1.admanmail.com,2,0.1
value=40,1,0.05
ffffff,2,0.1
"3,000,000",1,0.05
greatoffers,2,0.1
virginia,1,0.05
smtp1.admanmail.com,2,0.1
value=oklahoma,1,0.05
value=oregon,1,0.05
value=375000.00,1,0.05
width=,3,0.15
subscribed,2,0.1
value=2000000.00,1,0.05
id=formsradiobutton2,1,0.05
value=53,1,0.05
value=225000.00,1,0.05
island,1,0.05
value=73,1,0.05
value=36,1,0.05
value=1750000.00,1,0.05
value=600000.00,1,0.05
face=,3,0.15
"350,000",1,0.05
class=content,1,0.05
value=4000000.00,1,0.05
ffccff,2,0.1
value=vermont,1,0.05
18:28:39,1,0.05
south,1,0.05
value=3500000.00,1,0.05
kentucky,1,0.05
wisconsin,1,0.05
http-equiv=,1,0.05
york,1,0.05
value=4500000.00,1,0.05
value=475000.00,1,0.05
id=formsradiobutton1,1,0.05
maine,1,0.05
ffcc33,1,0.05
alaska,1,0.05
value=iowa,1,0.05
71ce443f9b,1,0.05
products/services,2,0.1
value=06,1,0.05
value=louisiana,1,0.05
"225,000",1,0.05
src=,2,0.1
north,1,0.05
value=19,1,0.05
mm/dd/yy,1,0.05
oregon,1,0.05
"800,000",1,0.05
13:28:19,1,0.05
inc.,1,0.05
nbsp,1,0.05
value=m,1,0.05
name=mm,1,0.05
mailing,2,0.1
method=,1,0.05
name=plan,1,0.05
sufficient,1,0.05
dakota,1,0.05
value=utah,1,0.05
value=13,1,0.05
//www.reliaquote.com/banner/bannerads/images/70percent6.gif,1,0.05
"300,000",1,0.05
value=02,1,0.05
336699,1,0.05
option,1,0.05
value=200000.00,1,0.05
"9,000,000",1,0.05
value=23,1,0.05
value=18,1,0.05
texas,1,0.05
value=25,1,0.05
"2,250,000",1,0.05
alabama,1,0.05
hawaii,1,0.05
value=65,1,0.05
131,1,0.05
//www.reliaquote.com/termlife/cgi-bin/banner_quote_resp.asp,1,0.05
lsmtp,2,0.1
value=75,1,0.05
nevada,1,0.05
12:16:46,1,0.05
email___________________________________,1,0.05
